match_id,home_position,home_played_matches,home_wins,home_draws,home_loses,home_goals_scored,home_goals_conceded,home_goal_difference,home_team_wins_in_last_5_matches,home_team_draws_in_last_5_matches,home_team_loses_in_last_5_matches,home_team_scored_goals_in_last_5_matches,home_team_conceded_goals_in_last_5_matches,away_position,away_played_matches,away_wins,away_draws,away_loses,away_goals_scored,away_goals_conceded,away_goal_difference,away_team_wins_in_last_5_matches,away_team_draws_in_last_5_matches,away_team_loses_in_last_5_matches,away_team_scored_goals_in_last_5_matches,away_team_conceded_goals_in_last_5_matches,result,home_odds,draw_odds,away_odds
18295,20,33,5,9,19,27,53,-26,0,1,4,2,7,19,33,5,10,18,24,49,-25,0,2,3,2,8,2,2.660,2.980,2.970
18296,11,33,11,11,11,40,47,-7,3,0,2,5,8,6,33,14,10,9,42,31,11,1,3,1,4,4,1,3.060,2.980,2.580
18297,5,33,16,6,11,53,40,13,4,1,0,8,2,2,33,21,7,5,74,35,39,2,3,0,7,4,2,4.310,3.980,1.770
18298,12,33,12,6,15,41,46,-5,2,2,1,8,5,7,33,15,5,13,50,42,8,1,0,4,4,8,1,2.940,3.420,2.400
18299,4,33,15,12,6,48,33,15,1,4,0,7,4,17,33,9,8,16,34,50,-16,2,2,1,6,6,0,1.460,4.360,7.410
18300,9,34,12,11,11,43,50,-7,1,1,3,4,7,13,34,8,15,11,28,37,-9,1,3,1,3,3,0,2.030,3.180,4.180
18301,16,34,7,14,13,33,43,-10,2,2,1,11,8,3,34,16,14,4,46,25,21,4,1,0,9,3,1,4.410,3.160,1.990
18302,14,34,9,11,14,44,55,-11,1,1,3,4,8,11,34,11,12,11,40,47,-7,3,1,1,5,3,0,2.100,3.430,3.530
18303,6,34,14,11,9,42,31,11,1,3,1,4,4,5,34,16,6,12,54,44,10,3,1,1,8,6,2,2.610,3.080,2.910
18304,2,34,22,7,5,78,36,42,2,3,0,9,5,20,34,5,9,20,27,54,-27,0,0,5,2,8,0,1.140,8.410,20.700
18305,17,34,9,8,17,34,51,-17,2,1,2,4,5,19,34,6,10,18,25,49,-24,1,2,2,3,6,1,2.500,3.050,3.100
18306,18,34,8,5,21,35,59,-24,1,1,3,7,10,12,34,12,7,15,42,47,-5,2,2,1,8,5,0,2.090,3.660,3.370
18307,9,34,12,12,10,38,29,9,3,0,2,6,3,4,34,16,12,6,49,33,16,2,3,0,7,3,2,3.050,3.020,2.550
18308,7,34,15,6,13,51,43,8,1,1,3,5,7,10,34,13,8,13,42,40,2,1,2,2,5,5,2,1.740,3.700,4.880
18309,1,34,23,8,3,62,21,41,5,0,0,7,1,17,34,9,8,17,32,51,-19,0,0,5,1,12,0,1.220,6.330,13.660
